feature_code,date_code,measurement,units,value,alcohol_consumption,sex,hb_name,longitude,latitude
S08000017,2015-2018,Percent,Percent Of Adults,14,Non-drinker,Female,Dumfries and Galloway,-3.6053,55.0701
S08000017,2015-2018,Percent,Percent Of Adults,29,Hazardous/Harmful drinker,Male,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,78,Moderate drinker,Female,Dumfries and Galloway,-3.6053,55.0701
S08000017,2015-2018,Percent,Percent Of Adults,64,Moderate drinker,All,Dumfries and Galloway,-3.6053,55.0701
S08000017,2015-2018,Percent,Percent Of Adults,19,Non-drinker,Male,Dumfries and Galloway,-3.6053,55.0701
S08000017,2015-2018,Percent,Percent Of Adults,11,Hazardous/Harmful drinker,Female,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,10,Hazardous/Harmful drinker,Female,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,13,Non-drinker,Male,Dumfries and Galloway,-3.6053,55.0701
S08000017,2015-2018,Percent,Percent Of Adults,75,Moderate drinker,Female,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,56,Moderate drinker,Male,Dumfries and Galloway,-3.6053,55.0701
S08000019,2016-2019,Percent,Percent Of Adults,13,Non-drinker,Male,Forth Valley,-3.8477,56.0254
S08000019,2015-2018,Percent,Percent Of Adults,60,Moderate drinker,Female,Forth Valley,-3.8477,56.0254
S08000019,2015-2018,Percent,Percent Of Adults,40,Hazardous/Harmful drinker,Male,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,61,Moderate drinker,Female,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,17,Non-drinker,All,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,36,Hazardous/Harmful drinker,Male,Forth Valley,-3.8477,56.0254
S08000019,2015-2018,Percent,Percent Of Adults,15,Non-drinker,All,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,51,Moderate drinker,Male,Forth Valley,-3.8477,56.0254
S08000019,2015-2018,Percent,Percent Of Adults,10,Non-drinker,Male,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,19,Hazardous/Harmful drinker,Female,Forth Valley,-3.8477,56.0254
S08000019,2015-2018,Percent,Percent Of Adults,20,Hazardous/Harmful drinker,Female,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,20,Non-drinker,Female,Forth Valley,-3.8477,56.0254
S08000019,2015-2018,Percent,Percent Of Adults,55,Moderate drinker,All,Forth Valley,-3.8477,56.0254
S08000019,2015-2018,Percent,Percent Of Adults,49,Moderate drinker,Male,Forth Valley,-3.8477,56.0254
S08000019,2015-2018,Percent,Percent Of Adults,20,Non-drinker,Female,Forth Valley,-3.8477,56.0254
S08000019,2015-2018,Percent,Percent Of Adults,30,Hazardous/Harmful drinker,All,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,28,Hazardous/Harmful drinker,All,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,56,Moderate drinker,All,Forth Valley,-3.8477,56.0254
S08000020,2016-2019,Percent,Percent Of Adults,17,Non-drinker,All,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,21,Hazardous/Harmful drinker,All,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,61,Moderate drinker,All,Grampian,-4,56.9166667
S08000020,2015-2018,Percent,Percent Of Adults,61,Moderate drinker,All,Grampian,-4,56.9166667
S08000020,2015-2018,Percent,Percent Of Adults,22,Hazardous/Harmful drinker,All,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,16,Hazardous/Harmful drinker,Female,Grampian,-4,56.9166667
S08000020,2015-2018,Percent,Percent Of Adults,15,Non-drinker,Male,Grampian,-4,56.9166667
S08000020,2015-2018,Percent,Percent Of Adults,16,Hazardous/Harmful drinker,Female,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,19,Non-drinker,Female,Grampian,-4,56.9166667
S08000020,2015-2018,Percent,Percent Of Adults,55,Moderate drinker,Male,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,15,Non-drinker,Male,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,27,Hazardous/Harmful drinker,Male,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,57,Moderate drinker,Male,Grampian,-4,56.9166667
S08000020,2015-2018,Percent,Percent Of Adults,17,Non-drinker,All,Grampian,-4,56.9166667
S08000020,2016-2019,Percent,Percent Of Adults,65,Moderate drinker,Female,Grampian,-4,56.9166667
S08000020,2015-2018,Percent,Percent Of Adults,30,Hazardous/Harmful drinker,Male,Grampian,-4,56.9166667
S08000020,2015-2018,Percent,Percent Of Adults,19,Non-drinker,Female,Grampian,-4,56.9166667
S08000020,2015-2018,Percent,Percent Of Adults,66,Moderate drinker,Female,Grampian,-4,56.9166667
S08000022,2015-2018,Percent,Percent Of Adults,14,Non-drinker,Male,Highland,-4.2264,57.4596
S08000022,2015-2018,Percent,Percent Of Adults,55,Moderate drinker,Male,Highland,-4.2264,57.4596
S08000022,2015-2018,Percent,Percent Of Adults,17,Non-drinker,All,Highland,-4.2264,57.4596
S08000022,2015-2018,Percent,Percent Of Adults,19,Non-drinker,Female,Highland,-4.2264,57.4596
S08000022,2015-2018,Percent,Percent Of Adults,68,Moderate drinker,Female,Highland,-4.2264,57.4596
S08000022,2015-2018,Percent,Percent Of Adults,31,Hazardous/Harmful drinker,Male,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,18,Non-drinker,Female,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,13,Non-drinker,Male,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,15,Non-drinker,All,Highland,-4.2264,57.4596
S08000022,2015-2018,Percent,Percent Of Adults,22,Hazardous/Harmful drinker,All,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,33,Hazardous/Harmful drinker,Male,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,68,Moderate drinker,Female,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,23,Hazardous/Harmful drinker,All,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,13,Hazardous/Harmful drinker,Female,Highland,-4.2264,57.4596
S08000022,2015-2018,Percent,Percent Of Adults,62,Moderate drinker,All,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,54,Moderate drinker,Male,Highland,-4.2264,57.4596
S08000022,2015-2018,Percent,Percent Of Adults,13,Hazardous/Harmful drinker,Female,Highland,-4.2264,57.4596
S08000022,2016-2019,Percent,Percent Of Adults,61,Moderate drinker,All,Highland,-4.2264,57.4596
S08000024,2016-2019,Percent,Percent Of Adults,28,Hazardous/Harmful drinker,All,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,49,Moderate drinker,Male,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,56,Moderate drinker,All,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,10,Non-drinker,Male,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,11,Non-drinker,Male,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,20,Hazardous/Harmful drinker,Female,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,14,Non-drinker,All,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,30,Hazardous/Harmful drinker,All,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,14,Non-drinker,All,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,51,Moderate drinker,Male,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,17,Non-drinker,Female,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,64,Moderate drinker,Female,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,64,Moderate drinker,Female,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,40,Hazardous/Harmful drinker,Male,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,58,Moderate drinker,All,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,20,Hazardous/Harmful drinker,Female,Lothian,-3.2121,55.9484
S08000024,2015-2018,Percent,Percent Of Adults,17,Non-drinker,Female,Lothian,-3.2121,55.9484
S08000024,2016-2019,Percent,Percent Of Adults,37,Hazardous/Harmful drinker,Male,Lothian,-3.2121,55.9484
S08000025,2016-2019,Percent,Percent Of Adults,14,Hazardous/Harmful drinker,Female,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,16,Non-drinker,All,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,23,Hazardous/Harmful drinker,All,Orkney,-2.9605,58.9809
S08000025,2015-2018,Percent,Percent Of Adults,64,Moderate drinker,All,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,62,Moderate drinker,All,Orkney,-2.9605,58.9809
S08000025,2015-2018,Percent,Percent Of Adults,22,Hazardous/Harmful drinker,All,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,57,Moderate drinker,Male,Orkney,-2.9605,58.9809
S08000025,2015-2018,Percent,Percent Of Adults,12,Hazardous/Harmful drinker,Female,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,10,Non-drinker,Male,Orkney,-2.9605,58.9809
S08000025,2015-2018,Percent,Percent Of Adults,14,Non-drinker,All,Orkney,-2.9605,58.9809
S08000025,2015-2018,Percent,Percent Of Adults,71,Moderate drinker,Female,Orkney,-2.9605,58.9809
S08000025,2015-2018,Percent,Percent Of Adults,33,Hazardous/Harmful drinker,Male,Orkney,-2.9605,58.9809
S08000025,2015-2018,Percent,Percent Of Adults,18,Non-drinker,Female,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,66,Moderate drinker,Female,Orkney,-2.9605,58.9809
S08000025,2015-2018,Percent,Percent Of Adults,11,Non-drinker,Male,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,20,Non-drinker,Female,Orkney,-2.9605,58.9809
S08000025,2016-2019,Percent,Percent Of Adults,32,Hazardous/Harmful drinker,Male,Orkney,-2.9605,58.9809
S08000025,2015-2018,Percent,Percent Of Adults,56,Moderate drinker,Male,Orkney,-2.9605,58.9809
S08000026,2015-2018,Percent,Percent Of Adults,59,Moderate drinker,All,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,24,Non-drinker,Female,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,17,Non-drinker,All,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,63,Moderate drinker,All,Shetland,-1.2659,60.5297
S08000026,2015-2018,Percent,Percent Of Adults,64,Moderate drinker,Female,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,29,Hazardous/Harmful drinker,Male,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,65,Moderate drinker,Female,Shetland,-1.2659,60.5297
S08000026,2015-2018,Percent,Percent Of Adults,34,Hazardous/Harmful drinker,Male,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,60,Moderate drinker,Male,Shetland,-1.2659,60.5297
S08000026,2015-2018,Percent,Percent Of Adults,13,Non-drinker,Male,Shetland,-1.2659,60.5297
S08000026,2015-2018,Percent,Percent Of Adults,53,Moderate drinker,Male,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,11,Non-drinker,Male,Shetland,-1.2659,60.5297
S08000026,2015-2018,Percent,Percent Of Adults,22,Non-drinker,Female,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,11,Hazardous/Harmful drinker,Female,Shetland,-1.2659,60.5297
S08000026,2015-2018,Percent,Percent Of Adults,23,Hazardous/Harmful drinker,All,Shetland,-1.2659,60.5297
S08000026,2016-2019,Percent,Percent Of Adults,20,Hazardous/Harmful drinker,All,Shetland,-1.2659,60.5297
S08000026,2015-2018,Percent,Percent Of Adults,14,Hazardous/Harmful drinker,Female,Shetland,-1.2659,60.5297
S08000026,2015-2018,Percent,Percent Of Adults,18,Non-drinker,All,Shetland,-1.2659,60.5297
S08000028,2015-2018,Percent,Percent Of Adults,29,Non-drinker,Female,Western Isles,-7.0194,57.7599
S08000028,2015-2018,Percent,Percent Of Adults,19,Hazardous/Harmful drinker,All,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,26,Non-drinker,Female,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,26,Hazardous/Harmful drinker,Male,Western Isles,-7.0194,57.7599
S08000028,2015-2018,Percent,Percent Of Adults,9,Hazardous/Harmful drinker,Female,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,54,Moderate drinker,Male,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,8,Hazardous/Harmful drinker,Female,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,60,Moderate drinker,All,Western Isles,-7.0194,57.7599
S08000028,2015-2018,Percent,Percent Of Adults,30,Hazardous/Harmful drinker,Male,Western Isles,-7.0194,57.7599
S08000028,2015-2018,Percent,Percent Of Adults,22,Non-drinker,Male,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,23,Non-drinker,All,Western Isles,-7.0194,57.7599
S08000028,2015-2018,Percent,Percent Of Adults,55,Moderate drinker,All,Western Isles,-7.0194,57.7599
S08000028,2015-2018,Percent,Percent Of Adults,26,Non-drinker,All,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,66,Moderate drinker,Female,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,17,Hazardous/Harmful drinker,All,Western Isles,-7.0194,57.7599
S08000028,2015-2018,Percent,Percent Of Adults,61,Moderate drinker,Female,Western Isles,-7.0194,57.7599
S08000028,2015-2018,Percent,Percent Of Adults,48,Moderate drinker,Male,Western Isles,-7.0194,57.7599
S08000028,2016-2019,Percent,Percent Of Adults,21,Non-drinker,Male,Western Isles,-7.0194,57.7599
S08000029,2015-2018,Percent,Percent Of Adults,28,Hazardous/Harmful drinker,Male,Fife,-3.1495,56.2082
S08000029,2015-2018,Percent,Percent Of Adults,12,Non-drinker,Male,Fife,-3.1495,56.2082
S08000029,2015-2018,Percent,Percent Of Adults,66,Moderate drinker,Female,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,67,Moderate drinker,Female,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,61,Moderate drinker,Male,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,18,Hazardous/Harmful drinker,Female,Fife,-3.1495,56.2082
S08000029,2015-2018,Percent,Percent Of Adults,16,Hazardous/Harmful drinker,Female,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,28,Hazardous/Harmful drinker,Male,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,64,Moderate drinker,All,Fife,-3.1495,56.2082
S08000029,2015-2018,Percent,Percent Of Adults,15,Non-drinker,All,Fife,-3.1495,56.2082
S08000029,2015-2018,Percent,Percent Of Adults,18,Non-drinker,Female,Fife,-3.1495,56.2082
S08000029,2015-2018,Percent,Percent Of Adults,21,Hazardous/Harmful drinker,All,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,12,Non-drinker,Male,Fife,-3.1495,56.2082
S08000029,2015-2018,Percent,Percent Of Adults,61,Moderate drinker,Male,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,22,Hazardous/Harmful drinker,All,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,15,Non-drinker,Female,Fife,-3.1495,56.2082
S08000029,2015-2018,Percent,Percent Of Adults,64,Moderate drinker,All,Fife,-3.1495,56.2082
S08000029,2016-2019,Percent,Percent Of Adults,14,Non-drinker,All,Fife,-3.1495,56.2082
S08000030,2016-2019,Percent,Percent Of Adults,18,Non-drinker,Female,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,15,Hazardous/Harmful drinker,Female,Tayside,-3.0331,56.4643
S08000030,2015-2018,Percent,Percent Of Adults,18,Non-drinker,Female,Tayside,-3.0331,56.4643
S08000030,2015-2018,Percent,Percent Of Adults,15,Non-drinker,All,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,63,Moderate drinker,All,Tayside,-3.0331,56.4643
S08000030,2015-2018,Percent,Percent Of Adults,11,Non-drinker,Male,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,22,Hazardous/Harmful drinker,All,Tayside,-3.0331,56.4643
S08000030,2015-2018,Percent,Percent Of Adults,64,Moderate drinker,All,Tayside,-3.0331,56.4643
S08000030,2015-2018,Percent,Percent Of Adults,30,Hazardous/Harmful drinker,Male,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,15,Non-drinker,All,Tayside,-3.0331,56.4643
S08000030,2015-2018,Percent,Percent Of Adults,21,Hazardous/Harmful drinker,All,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,59,Moderate drinker,Male,Tayside,-3.0331,56.4643
S08000030,2015-2018,Percent,Percent Of Adults,14,Hazardous/Harmful drinker,Female,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,67,Moderate drinker,Female,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,11,Non-drinker,Male,Tayside,-3.0331,56.4643
S08000030,2015-2018,Percent,Percent Of Adults,68,Moderate drinker,Female,Tayside,-3.0331,56.4643
S08000030,2016-2019,Percent,Percent Of Adults,30,Hazardous/Harmful drinker,Male,Tayside,-3.0331,56.4643
S08000030,2015-2018,Percent,Percent Of Adults,60,Moderate drinker,Male,Tayside,-3.0331,56.4643
S08000031,2016-2019,Percent,Percent Of Adults,17,Non-drinker,Male,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,22,Non-drinker,Female,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2015-2018,Percent,Percent Of Adults,21,Non-drinker,Female,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,51,Moderate drinker,Male,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,62,Moderate drinker,Female,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2015-2018,Percent,Percent Of Adults,52,Moderate drinker,Male,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2015-2018,Percent,Percent Of Adults,63,Moderate drinker,Female,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2015-2018,Percent,Percent Of Adults,16,Non-drinker,Male,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,57,Moderate drinker,All,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,19,Non-drinker,All,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,32,Hazardous/Harmful drinker,Male,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2015-2018,Percent,Percent Of Adults,58,Moderate drinker,All,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2015-2018,Percent,Percent Of Adults,18,Non-drinker,All,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2015-2018,Percent,Percent Of Adults,24,Hazardous/Harmful drinker,All,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2016-2019,Percent,Percent Of Adults,16,Hazardous/Harmful drinker,Female,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2015-2018,Percent,Percent Of Adults,32,Hazardous/Harmful drinker,Male,Greater Glasgow and Clyde,-4.321,55.8836
S08000031,2015-2018,Percent,Percent Of Adults,16,Hazardous/Harmful drinker,Female,Greater Glasgow and Clyde,-4.321,55.8836
